name,Transaction Date,Payment Terms,Due  Date,Outstanding Amount,Current,01-31 Days Past Due ,32-61 Days Past Due,62-91 Days Past Due,92-181 Days Past Due,182-361 Days Past Due,362 + Days Past Due
Aastha Broadcasting Network Limited,11/1/2020,1st Next Month,12/1/2020,40500,0,40500,0,0,0,0,0
Aastha Broadcasting Network Limited,10/1/2020,1st Next Month,11/1/2020,40500,0,0,40500,0,0,0,0
Aastha Broadcasting Network Limited,12/1/2020,1st Next Month,1/1/2021,40500,40500,0,0,0,0,0,0
Aastha Broadcasting Network Limited,9/1/2019,1st Next Month,10/1/2019,40500,0,0,0,0,0,0,40500
Aastha Broadcasting Network Limited,10/1/2019,1st Next Month,11/1/2019,40500,0,0,0,0,0,0,40500
Aastha Broadcasting Network Limited,11/1/2019,1st Next Month,12/1/2019,40500,0,0,0,0,0,0,40500
Aastha Broadcasting Network Limited,12/1/2019,1st Next Month,1/1/2020,40500,0,0,0,0,0,0,40500
Aastha Broadcasting Network Limited,1/1/2020,1st Next Month,2/1/2020,40500,0,0,0,0,0,40500,0
Aastha Broadcasting Network Limited,2/1/2020,1st Next Month,3/1/2020,40500,0,0,0,0,0,40500,0
Aastha Broadcasting Network Limited,3/1/2020,1st Next Month,4/1/2020,40500,0,0,0,0,0,40500,0
Aastha Broadcasting Network Limited,4/1/2020,1st Next Month,5/1/2020,40500,0,0,0,0,0,40500,0
Aastha Broadcasting Network Limited,5/1/2020,1st Next Month,6/1/2020,40500,0,0,0,0,0,40500,0
Aastha Broadcasting Network Limited,6/1/2020,1st Next Month,7/1/2020,40500,0,0,0,0,0,40500,0
Aastha Broadcasting Network Limited,7/1/2020,1st Next Month,8/1/2020,40500,0,0,0,0,40500,0,0
Aastha Broadcasting Network Limited,8/1/2020,1st Next Month,9/1/2020,40500,0,0,0,0,40500,0,0
